,CanTung_Mine,Diavik_Mine,Ekati_Mine,Gahcho_Kue_Mine,NICO_Mine,Pine_Point_Mine_(Tamerlane),Prairie_Creek_Mine,Snap_Lake_Mine
2000s,-6.38,-9.48,-9.72,-8.0,-5.49,-2.83,-5.84,-7.81
2010s,-6.06,-8.34,-8.54,-6.86,-4.4,-1.84,-5.4,-6.75
2020s,-5.79,-7.98,-8.17,-6.52,-4.05,-1.77,-5.02,-6.42
2030s,-4.58,-6.85,-7.04,-5.43,-2.69,-0.58,-3.9,-5.28
2040s,-4.33,-6.97,-7.2,-5.51,-2.83,-0.22,-3.79,-5.36
2050s,-3.86,-5.37,-5.54,-3.83,-1.4,1.05,-3.03,-3.78
2060s,-2.63,-4.23,-4.42,-2.82,-0.25,1.94,-1.96,-2.75
2070s,-1.74,-3.63,-3.84,-2.19,0.19,2.71,-1.35,-2.13
2080s,-1.05,-2.73,-2.93,-1.3,1.27,3.55,-0.56,-1.22
2090s,-0.89,-1.79,-1.98,-0.4,2.06,4.2,-0.18,-0.36
2100s,-0.58,-1.27,-1.44,0.12,2.38,4.44,0.02,0.1
2110s,0.79,-0.56,-0.75,0.82,3.46,5.52,1.31,0.88
2120s,0.83,0.16,-0.03,1.49,3.83,5.67,1.17,1.49
2130s,2.0,1.53,1.34,2.87,5.33,7.19,2.51,2.89
2140s,1.76,1.26,1.1,2.63,4.94,6.76,2.2,2.59
2150s,2.33,2.19,2.02,3.47,5.85,7.62,2.68,3.45
2160s,3.15,2.62,2.46,4.0,6.38,8.21,3.53,3.95
2170s,3.2,3.39,3.23,4.68,7.01,8.52,3.55,4.61
2180s,4.23,4.27,4.13,5.53,7.82,9.39,4.5,5.45
2190s,4.31,4.19,4.03,5.5,7.71,9.27,4.46,5.42
2200s,4.78,4.9,4.75,6.14,8.39,9.9,4.88,6.01
2210s,5.04,5.08,4.92,6.38,8.55,9.91,5.12,6.24
2220s,4.61,4.89,4.75,6.21,8.32,9.61,4.77,6.03
2230s,5.45,5.67,5.54,6.88,8.96,10.22,5.47,6.7
2240s,5.63,5.73,5.58,7.01,9.15,10.53,5.6,6.83
2250s,6.02,6.22,6.11,7.52,9.52,10.83,5.88,7.32
2260s,5.68,6.28,6.19,7.57,9.52,10.8,5.7,7.35
2270s,6.07,6.42,6.3,7.7,9.73,10.85,6.01,7.47
2280s,6.43,6.22,6.11,7.56,9.67,11.02,6.2,7.35
2290s,6.64,6.5,6.37,7.73,9.71,11.02,6.28,7.54
