name,alt_name,region,country,latitude,longitude
Aklavik,,Northwest Territories,CA,68.22,-135.0087
Behchokǫ̀,Rae-Edzo,Northwest Territories,CA,62.8335,-116.0514
CanTung Mine,,Northwest Territories,CA,61.9717,-128.2683
Colville Lake,K'áhbamį́túé,Northwest Territories,CA,67.0399,-126.0912
ConocoPhillips EL470 Base Camp,,Northwest Territories,CA,65.0534,-127.0355
Daring Lake Research Station,,Northwest Territories,CA,64.52,-111.35
Deline,Délı̨nę,Northwest Territories,CA,65.1897,-123.4244
Dettah,Tʼèɂehdaà,Northwest Territories,CA,62.4112,-114.3084
Diavik Mine,,Northwest Territories,CA,64.5114,-110.2897
Ekati Mine,,Northwest Territories,CA,64.6172,-110.1328
Enterprise,,Northwest Territories,CA,60.5555,-116.1472
Fort Good Hope,Rádeyîlîkóé,Northwest Territories,CA,66.257,-128.6377
Fort Liard,Echaot'l Koe,Northwest Territories,CA,60.2392,-123.4752
Fort McPherson,Teetł'it Zheh,Northwest Territories,CA,67.4365,-134.8833
Fort Providence,Zhahti Koe,Northwest Territories,CA,61.3552,-117.6542
Fort Resolution,Denı́nu Kų́ę́,Northwest Territories,CA,61.171,-113.6721
Fort Simpson,Łı́ı́dlı̨ı̨ Kų́ę́,Northwest Territories,CA,61.8609,-121.3527
Fort Smith,Thebacha,Northwest Territories,CA,60.0053,-111.8829
Gahcho Kue Mine,,Northwest Territories,CA,63.5047,-109.0461
Gamètì,,Northwest Territories,CA,64.1129,-117.3525
Hay River,Xátł'odehchee,Northwest Territories,CA,60.8097,-115.7898
Hay River Reserve,K'atlodeech First Nation,Northwest Territories,CA,60.7939,-115.704
Husky Slater River Base Camp,,Northwest Territories,CA,65.0077,-126.4355
Inuvik,,Northwest Territories,CA,68.361,-133.73
Jean Marie River,Tthek'éhdélį,Northwest Territories,CA,61.525,-120.6278
Kakisa,K'ágee,Northwest Territories,CA,60.9407,-117.4159
Łutselkʼe,,Northwest Territories,CA,62.4041,-110.7382
Nahanni Butte,Tthenáágó,Northwest Territories,CA,61.0356,-123.3832
Ndilǫ,,Northwest Territories,CA,62.4736,-114.3361
Nechalacho/Thor Lake,,Northwest Territories,CA,62.0989,-112.5936
NICO Mine,,Northwest Territories,CA,63.55,-116.7458
Norman Wells,Tłegǫ́hłı̨,Northwest Territories,CA,65.2811,-126.8316
Paulatuk,,Northwest Territories,CA,69.3503,-124.06
Pine Point Mine,,Northwest Territories,CA,60.8335,-114.4679
Prairie Creek Mine,,Northwest Territories,CA,61.55,-124.8
Sachs Harbour,Ikahuak,Northwest Territories,CA,71.9867,-125.2505
Sambaa K’e,,Northwest Territories,CA,60.4426,-121.2424
Snap Lake Mine,,Northwest Territories,CA,63.6056,-110.8667
Tsiigehtchic,,Northwest Territories,CA,67.4424,-133.7424
Tuktoyaktuk,,Northwest Territories,CA,69.4509,-133.0358
Tulita,,Northwest Territories,CA,64.9006,-125.5763
Ulukhaktok,,Northwest Territories,CA,70.7366,-117.772
Wekweètì,,Northwest Territories,CA,64.1892,-114.1861
Whatì,,Northwest Territories,CA,63.1449,-117.2743
Wrigley,Pedzéh Kñ,Northwest Territories,CA,63.2268,-123.4667
Yellowknife,Sǫ̀mbak'è,Northwest Territories,CA,62.4536,-114.37
